planner_name iteration planning_time_elapsed cost_solution_total cost_solution_revolute cost_solution_prismatic theoretical_cost_total theoretical_cost_revolute theoretical_cost_prismatic
bi_rrt_star 135 263.182 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 136 264.73 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 137 266.581 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 138 269.473 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 139 271.758 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 140 274.625 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 141 275.654 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 142 276.593 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 143 277.027 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 144 278.902 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 145 280.152 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 146 280.574 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 147 283.677 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 148 286.186 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 149 288.401 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 150 291.7 7.92783 7.92783 0 5.17397 5.17397 0
bi_rrt_star 151 293.95 7.63608 7.63608 0 5.17397 5.17397 0
bi_rrt_star 152 297.952 7.63608 7.63608 0 5.17397 5.17397 0
bi_rrt_star 153 300.316 7.63608 7.63608 0 5.17397 5.17397 0
